model_name,condition,loss_variant,loss_metric,n_obs_total,n_assets,pooled_cp_loss,pooled_model_loss,pooled_advantage_cp_minus_model,assets_positive
HAR_RV,high_within_block_dispersion,high_vol_actual_top_asset_quintile,winsorized_SMAPE_1_99,8611,10,83.52311784459015,79.42876739294428,4.0943504516458695,10
RAW_PM,all_rows,standard,SMAPE,367468,10,100.87996479236023,101.90737803914651,-1.0274132467862906,1
RAW_PM,all_rows,standard,MAE,367468,10,0.0005862627333686991,0.000599310979193996,-1.3048245825296968e-05,1
RAW_PM,all_rows,standard,MSE,367468,10,2.195810003722176e-06,2.2441948555804998e-06,-4.8384851858323534e-08,0
RAW_PM,all_rows,standard,RMSE,367468,10,0.0013888098610510208,0.001403533780329299,-1.4723919278278158e-05,0
RAW_PM,all_rows,standard,QLIKE,367468,10,296920.5433224973,4.638025223059142,296915.90529727424,10
RAW_PM,all_rows,standard,log_RV_MAE,367468,10,5.013575715182238,5.04297216583195,-0.029396450649711095,0
RAW_PM,all_rows,standard,log_RV_MSE,367468,10,86.01532967319302,86.7464315627124,-0.7311018895193852,1
RAW_PM,all_rows,standard,winsorized_SMAPE_1_99,367468,10,100.88870917101809,101.9166529933773,-1.0279438223591988,1
RAW_PM,all_rows,excluding_near_zero_actual_bottom_asset_decile,SMAPE,280990,10,70.80150601340222,72.10667687847021,-1.3051708650680005,1
RAW_PM,all_rows,excluding_near_zero_actual_bottom_asset_decile,MAE,280990,10,0.0006347107778826486,0.0006428745393545311,-8.163761471882429e-06,3
RAW_PM,all_rows,excluding_near_zero_actual_bottom_asset_decile,MSE,280990,10,2.7844815379535592e-06,2.8421103238061663e-06,-5.762878585260705e-08,0
RAW_PM,all_rows,excluding_near_zero_actual_bottom_asset_decile,RMSE,280990,10,0.001590690765776201,0.0016072968161041153,-1.6606050327914325e-05,0
RAW_PM,all_rows,excluding_near_zero_actual_bottom_asset_decile,QLIKE,280990,10,387469.95429308614,0.6289189461842959,387469.32537414,10
RAW_PM,all_rows,excluding_near_zero_actual_bottom_asset_decile,log_RV_MAE,280990,10,0.8477474698162,0.851768535181818,-0.004021065365618025,5
RAW_PM,all_rows,excluding_near_zero_actual_bottom_asset_decile,log_RV_MSE,280990,10,1.4753525524316455,1.2447296507467478,0.23062290168489782,10
RAW_PM,all_rows,excluding_near_zero_actual_bottom_asset_decile,winsorized_SMAPE_1_99,280990,10,70.73639077833658,72.04502475614834,-1.3086339778117746,1
RAW_PM,all_rows,high_vol_actual_top_asset_quintile,SMAPE,73496,10,74.0205758822783,79.36859933584567,-5.348023453567353,0
RAW_PM,all_rows,high_vol_actual_top_asset_quintile,MAE,73496,10,0.001397758856088872,0.0014630835604704565,-6.532470438158469e-05,0
RAW_PM,all_rows,high_vol_actual_top_asset_quintile,MSE,73496,10,9.91631467307809e-06,1.0258106659834853e-05,-3.417919867567642e-07,0
RAW_PM,all_rows,high_vol_actual_top_asset_quintile,RMSE,73496,10,0.002950349007591885,0.0030001069938637827,-4.9757986271897775e-05,0
RAW_PM,all_rows,high_vol_actual_top_asset_quintile,QLIKE,73496,10,577828.0338365107,1.3704077666554395,577826.663428744,8
